root_id,super_class,class
720575940625107127,central,unknown
720575940624943292,central,unknown
720575940635953343,central,Kenyon_Cell
720575940622944461,central,Kenyon_Cell
720575940640049360,central,unknown
720575940609607890,central,unknown
720575940615669972,central,ALLN
720575940608657621,central,Kenyon_Cell
720575940619274456,central,Kenyon_Cell
720575940641360091,central,Kenyon_Cell
720575940614883551,central,LHLN
720575940616653030,sensory,olfactory
720575940623567082,central,unknown
720575940622813418,central,Kenyon_Cell
720575940620847342,sensory,olfactory
720575940642015477,central,ALLN
720575940623862015,central,unknown
720575940616980737,central,unknown
720575940630251791,central,ALLN
720575940644899095,central,unknown
720575940626286878,central,Kenyon_Cell
720575940605675808,central,unknown
720575940621732129,central,LHLN
720575940622682409,sensory,olfactory
720575940630612280,sensory,olfactory
720575940627368250,central,unknown
720575940628056380,central,unknown
720575940640639293,central,ALPN
720575940615506242,central,unknown
720575940638214470,sensory,olfactory
720575940632906055,central,unknown
720575940630972747,central,Kenyon_Cell
720575940621470028,central,ALLN
720575940637788494,central,Kenyon_Cell
720575940628678991,central,unknown
720575940632086865,central,Kenyon_Cell
720575940618946901,sensory,olfactory
720575940626712921,central,Kenyon_Cell
720575940620552539,central,LHLN
720575940616194397,sensory,olfactory
720575940620355934,central,Kenyon_Cell
720575940611803490,central,Kenyon_Cell
720575940645226862,central,Kenyon_Cell
720575940636838256,central,unknown
720575940621273460,central,unknown
720575940631497078,central,ALLN
720575940625795453,sensory,olfactory
720575940622780799,central,unknown
720575940639099264,sensory,olfactory
720575940640803200,central,ALLN
720575940639328640,central,Kenyon_Cell
720575940628023685,central,ALLN
720575940637559182,central,unknown
720575940625107352,central,unknown
720575940610951577,central,Kenyon_Cell
720575940654500257,sensory,olfactory
720575940640541091,central,ALLN
720575940619930021,central,unknown
720575940627073448,central,Kenyon_Cell
720575940621011376,central,unknown
720575940638607805,sensory,olfactory
720575940634773951,central,ALON
720575940634839487,central,Kenyon_Cell
720575940634970559,central,LHLN
720575940629498306,central,Kenyon_Cell
720575940608461251,central,unknown
720575940605381065,central,unknown
720575940619766219,central,ALPN
720575940619078091,central,ALLN
720575940623010253,central,Kenyon_Cell
720575940609149394,central,Kenyon_Cell
720575940629236183,sensory,olfactory
720575940617079257,central,Kenyon_Cell
720575940640934363,ascending,AN
720575940622387677,central,Kenyon_Cell
720575940609903077,central,ALPN
720575940637231593,central,ALPN
720575940613736941,sensory,olfactory
720575940628777466,central,Kenyon_Cell
720575940629268986,central,unknown
720575940623043069,central,unknown
720575940629662208,central,unknown
720575940617308673,sensory,olfactory
720575940624484866,central,unknown
720575940628515331,central,unknown
720575940628908548,optic,optic_lobe_intrinsic
720575940622060040,central,unknown
720575940630514191,sensory,olfactory
720575940626876945,central,ALLN
720575940631267858,central,unknown
